timestamp,volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes,open,close,high,SMA_14,EMA_14,RSI_14,BB_upper,BB_lower
2024-05-27 21:00:00,150416,108504,69,60,385,28614060,108573,108564,108889,108348.78571428571,108274.0054717545,69.74881689115398,109130.58757281686,107032.11242718315
2024-05-28 21:00:00,171419,107999,572,5,595,28615500,108571,108004,108594,108362.21428571429,108238.00474218724,53.16498316498317,109076.63430853869,107172.86569146131
2024-05-29 21:00:00,189320,107882,129,437,569,28616940,108011,108319,108451,108406.85714285714,108248.8041098956,59.87986089155864,109038.42668568752,107318.2733143125
2024-05-30 21:00:00,213067,108110,144,379,713,28618380,108254,108489,108823,108449.07142857143,108280.83022857619,59.44391179290508,109051.54668726544,107390.85331273456
2024-06-02 21:00:00,174351,108277,148,761,767,28622700,108425,109038,109044,108509.14285714286,108381.78619809936,62.44451021012134,109156.37230751652,107419.8276924835
2024-06-03 21:00:00,182532,108592,423,198,567,28624140,109015,108790,109159,108505.92857142857,108436.21470501945,49.24723987955838,109172.32314809496,107527.87685190505
2024-06-04 21:00:00,174943,108543,241,147,366,28625580,108784,108690,108909,108507.28571428571,108470.05274435019,50.324786324786324,109135.3470401485,107685.9529598515
2024-06-05 21:00:00,157725,108620,77,273,400,28627020,108697,108893,109020,108521.07142857143,108526.44571177017,53.113907712165215,109162.72165082744,107766.27834917256
2024-06-06 21:00:00,191693,107996,889,24,1023,28628460,108885,108020,109019,108482.0,108458.91961686748,42.87574889294087,109115.62864658608,107845.97135341393
2024-06-09 21:00:00,159079,107327,387,329,490,28632780,107714,107656,107817,108418.92857142857,108351.86366795182,39.4251497005988,109157.25244038337,107780.14755961663
2024-06-10 21:00:00,161794,107194,434,209,541,28634220,107628,107403,107735,108360.57142857143,108225.34851222491,40.05840837186663,109260.27929311268,107597.72070688732
2024-06-11 21:00:00,186161,107341,8,748,1182,28635660,107349,108089,108523,108355.78571428571,108207.16871059492,49.291904459945044,109213.16316187386,107570.23683812613
2024-06-12 21:00:00,171289,107322,739,59,842,28637100,108061,107381,108164,108278.64285714286,108097.01288251561,39.48188546941956,109252.35821690985,107402.04178309014
2024-06-13 21:00:00,196021,106676,675,378,774,28638540,107351,107054,107450,108170.71428571429,107957.94449818021,35.89695725219339,109312.33192066905,107177.46807933094
2024-06-16 21:00:00,169284,106865,129,472,514,28642860,106994,107337,107379,108083.07142857143,107875.15189842286,39.12041142046462,109312.63735792189,107054.1626420781
2024-06-17 21:00:00,169198,107101,233,295,513,28644300,107334,107396,107614,108039.64285714286,107811.26497863315,44.08330089529,109294.7232053321,106957.7767946679
2024-06-18 21:00:00,113042,107248,131,184,286,28645740,107379,107432,107534,107976.28571428571,107760.69631481539,40.87260753241408,109294.49778326349,106879.20221673652
2024-06-19 21:00:00,160850,107019,390,5,469,28647180,107409,107024,107488,107871.64285714286,107662.47013950668,35.62880125564057,109327.06875940203,106733.43124059797
2024-06-20 21:00:00,169321,106710,306,218,496,28648620,107016,106928,107206,107720.92857142857,107564.54078757246,27.28251507321275,109322.43852417418,106584.76147582583
2024-06-23 21:00:00,175112,106811,23,527,653,28652940,106834,107338,107464,107617.21428571429,107534.33534922947,34.89388264669164,109255.68542490833,106528.81457509167
2024-06-24 21:00:00,160231,106907,388,234,536,28654380,107295,107141,107443,107506.57142857143,107481.89063599889,34.2035488476443,109185.4524625644,106456.74753743561
2024-06-25 21:00:00,174703,106659,434,141,520,28655820,107093,106800,107179,107357.07142857143,107390.97188453238,29.240230113072812,109195.70318107444,106326.09681892555
2024-06-26 21:00:00,199353,106771,21,265,493,28657260,106792,107036,107264,107286.78571428571,107343.64229992806,38.828337874659404,109141.18292460554,106252.31707539446
2024-06-27 21:00:00,218778,106854,193,274,393,28658700,107047,107128,107247,107249.07142857143,107314.88999327099,43.61084220716361,109043.92073413164,106213.47926586836
2024-06-30 21:00:00,172802,107196,197,204,567,28663020,107393,107400,107763,107248.85714285714,107326.2379941682,49.963864129125504,108798.7930384876,106294.80696151241
2024-07-01 21:00:00,161128,107099,299,354,372,28664460,107398,107453,107471,107203.42857142857,107343.13959494578,40.96077316657191,108586.81232206195,106373.08767793805
2024-07-02 21:00:00,156305,107363,59,512,805,28665900,107422,107875,108168,107238.71428571429,107414.05431561968,57.642326732673276,108410.15364949829,106468.24635050171
2024-07-03 21:00:00,113036,107816,24,299,323,28667340,107840,108115,108139,107314.5,107507.51374020372,66.86804451510335,108166.8334407512,106633.7665592488
2024-07-04 21:00:00,168703,107965,143,427,461,28668780,108108,108392,108426,107389.85714285714,107625.4452415099,66.80471487734948,108262.88750302569,106574.9124969743
2024-07-07 21:00:00,158846,108000,0,246,450,28673100,108000,108246,108450,107450.57142857143,107708.18587597525,63.174209547427154,108365.37084841475,106531.42915158524
2024-07-08 21:00:00,147986,108055,182,82,279,28674540,108237,108137,108334,107500.92857142857,107765.36109251188,60.68505607759927,108451.82423543055,106518.37576456946
2024-07-09 21:00:00,137236,108110,17,190,196,28675980,108127,108300,108306,107592.07142857143,107836.64628017697,70.890635232482,108494.20480307151,106497.09519692848
2024-07-10 21:00:00,172736,108252,46,427,746,28677420,108298,108679,108998,107717.14285714286,107948.96010948671,76.2361402457297,108688.11962207746,106432.98037792255
2024-07-11 21:00:00,176009,108618,40,430,495,28678860,108658,109048,109113,107839.28571428571,108095.49876155515,75.94053398058253,108941.39469785514,106379.10530214486
2024-07-14 21:00:00,172709,108830,10,113,394,28683180,108840,108943,109224,107968.0,108208.49892668113,78.1210986267166,109132.88397006993,106348.21602993007
2024-07-15 21:00:00,168935,108715,215,271,340,28684620,108930,108986,109055,108124.14285714286,108312.16573645698,87.61183757742602,109307.84928966104,106332.25071033897
2024-07-16 21:00:00,189053,108950,37,444,531,28686060,108987,109394,109481,108292.57142857143,108456.41030492939,88.30409356725147,109549.97884486927,106286.32115513072
2024-07-17 21:00:00,186031,108936,451,23,474,28687500,109387,108959,109410,108423.35714285714,108523.42226427214,76.76118094124526,109652.9517182247,106376.8482817753
2024-07-18 21:00:00,156489,108756,194,63,262,28688940,108950,108819,109018,108524.71428571429,108562.83262903585,71.57190635451505,109700.98649362061,106517.91350637938
2024-07-21 21:00:00,158112,108729,106,174,298,28693260,108835,108903,109027,108628.28571428571,108608.18827849774,71.83734939759036,109773.41386547439,106601.9861345256
2024-07-22 21:00:00,142320,108439,464,91,529,28694700,108903,108530,108968,108675.07142857143,108597.76317469805,60.0122286762458,109769.82922296126,106744.47077703873
2024-07-23 21:00:00,160180,108257,277,136,408,28696140,108534,108393,108665,108694.92857142857,108570.46141807165,54.387626262626256,109685.2672936727,106988.3327063273
2024-07-24 21:00:00,188908,108283,109,165,417,28697580,108392,108448,108700,108698.92857142857,108554.13322899543,50.95044127630685,109608.96273682482,107205.83726317517
2024-07-25 21:00:00,151380,108421,34,131,261,28699020,108455,108552,108682,108720.78571428571,108553.84879846271,55.26859504132231,109518.89174045685,107438.30825954316
2024-07-28 21:00:00,152870,108023,521,188,676,28703340,108544,108211,108699,108726.07142857143,108508.13562533435,51.179846938775505,109438.62680203102,107599.67319796896
2024-07-29 21:00:00,151682,107983,206,157,374,28704780,108189,108140,108357,108714.64285714286,108459.05087528979,47.3718791064389,109348.1278837819,107758.8721162181
2024-07-30 21:00:00,198930,108018,120,241,477,28706220,108138,108259,108495,108684.64285714286,108432.37742525115,42.456896551724135,109315.14322129142,107830.25677870857
2024-07-31 21:00:00,195991,107775,466,138,580,28707660,108241,107913,108355,108603.57142857143,108363.12710188433,29.445852951829053,109336.1058670206,107789.09413297942
2024-08-01 21:00:00,226277,107818,43,1289,1447,28709100,107861,109107,109265,108615.28571428571,108462.31015496643,52.12987012987013,109404.07746469752,107792.6225353025
2024-08-04 21:00:00,308387,108926,311,587,1163,28713420,109237,109513,110089,108652.92857142857,108602.40213430424,56.254450510325185,109546.16882066935,107777.23117933064
2024-08-05 21:00:00,229562,109037,437,278,593,28714860,109474,109315,109630,108647.28571428571,108697.41518306367,49.01324006994754,109614.78716985662,107826.4128301434
2024-08-06 21:00:00,197384,109054,189,178,312,28716300,109243,109232,109366,108666.78571428571,108768.69315865518,53.73870172555464,109666.22347021603,107868.17652978396
2024-08-07 21:00:00,191477,108814,381,374,637,28717740,109195,109188,109451,108693.14285714286,108824.60073750115,55.18987341772152,109709.79597931173,107875.50402068825
2024-08-08 21:00:00,147901,109091,32,66,222,28719180,109123,109157,109313,108711.28571428571,108868.92063916767,53.626499143346656,109722.89844745777,107873.30155254224
